"","name","location"
"1","Aim911","Greenwood, IN"
"2","rita21411","Texas, USA"
"3","DrugStoreNews","New York, NY"
"4","VindicoMedEd","Thorofare, NJ"
"5","BKilby","Mooresville, NC"
"6","mister_blank","Near Worcester, MA"
"7","FayCortez","Minneapolis"
"8","beccahathaway42","Ankeny, IA"
"9","BigSnugALot","Providence, RI"
"10","LDCHEALTH","Lawrence, Kansas"
"11","CIDRAP","Minneapolis, MN"
"12","EINH1N1News","Washington, D.C."
"13","JOCOHealth","Olathe, KS"
"14","ASMicrobiology","Washington, DC"
"15","Lo_Zanzi","Boston, MA"
"16","murksmusings","Illinois"
"17","_AndrewSchmidt","Atlanta, GA"
"18","caitlyn_weir","Mount Ayr, ia"
"19","LouisLeoIV","United States"
"20","TargetMrkting","Hershey, PA"
"21","CPHO_Canada","Canada"
"22","570NEWS","Kitchener, Ontario"
"23","abtassociates","Cambridge, Massachusetts"
"24","paj8588","Missouri, USA"
"25","GertvanderHoek","Netherlands"
"26","BIOCIENCIA2013","Cumaná"
"27","SiouxlandHealth","Sioux City, IA"
"28","Debbie29490650","Texas <U+0001F1E8><U+0001F1F1>, USA <U+0001F1FA><U+0001F1F8>"
"29","NChardonnet","Saint Louis"
"30","mydocgarfieldnj","Garfield, NJ"
"31","kayeyewhy","New York, USA"
"32","darcy6179","Mount Vernon, OH"
"33","PIDSociety","Arlington, VA"
"34","thelonevirologi","USA"
"35","SciencePharmer","Petawawa, Ontario"
"36","MDedgePediatric","Rockville, MD"
"37","Geospatial_DA","Sparks, MD"
"38","jsgjames",""
"39","nutritiontastic","New York, NY"
"40","realiwasframed","U.S.A."
"41","ghw55","Newark, Delaware"
"42","BuddyB04863931","Midwest, USA"
"43","kariusdx","California, USA"
"44","hashtag_big","United States"
"45","nativeminnow","The Shallows"
"46","Vaxyourfam","United States"
"47","ChrisLoesch","Texas"
"48","Debbie29490650","Texas <U+0001F1E8><U+0001F1F1>, USA <U+0001F1FA><U+0001F1F8>"
"49","miguel_reyesMD","Manhattan, NY"
"50","onwnews","Oshkosh, Wisconsin"
"51","medicalaxioms","United States"
"52","UCNetworkOmaha","Omaha, NE"
"53","PoetryAlive","Asheville, NC"
"54","lakeeriecollege","Painesville, Ohio"
"55","Wasssaname","Brooklyn, NY"
"56","UHhospitals","Cleveland, Ohio"
"57","TakeThatCDC","Atlanta, GA"
"58","deborah91473","St Louis"
"59","DVGoldCoast","Norwalk, CT"
"60","DVBridgeport","Bridgeport, CT"
"61","DVFairfield_N","Wilton, CT"
"62","SDDOH","Pierre, SD"
"63","johncachero","Hampton Roads, Virginia"
"64","MadisonVirology","Wisconsin, USA"
"65","BlueHenNat","California, Delaware"
"66","QueensPHPM","Kingston, Ontario"
"67","JacesJarsofHope","Wisconsin, USA"
"68","BlueHenNat","California, Delaware"
"69","Ashley03278285","Nebraska, USA "
"70","BlueHenNat","California, Delaware"
"71","BlueHenPhoebe","Newark, DE"
"72","IndieCongress","United States"
"73","BagalueSunab","Trinidad and Tobago"
"74","TurnerNovak","Grand Rapids, MI"
"75","MyBestestThing","Earth"
"76","ThugPugMom","Bowling Green, KY"
"77","TheInfluenzers","Washington, DC"
"78","DMHospitalGroup","Ireland"
"79","PKO823","Canada"
"80","ipacuhn","Toronto, Ontario"
"81","ZArtofWellness","California"
"82","GertvanderHoek","Netherlands"
"83","EarlyReport","Chicago"
"84","nymedcollege","Valhalla, NY"
"85","ThugPugMom","Bowling Green, KY"
"86","PRI_Insurance","Roslyn, NY"
"87","SITNBoston","Boston, MA"
"88","qeastman","Decatur, GA"
"89","OneHealthUF","Gainesville, FL"
"90","ImpactUN","New York"
"91","medpagetoday","New York, NY"
"92","WildlifeDisease","Lawrence, Kansas"
"93","MedPedsAllergy","West Bloomfield Township, MI"
"94","vaccinemakers","Philadelphia, PA"
"95","AlaskanCourtney","Alaska"
"96","PrinceGYfan","Texas, USA "
"97","KWhistler","Lafayette, IN"
"98","MDMagazine","United States"
"99","darcy6179","Mount Vernon, OH"
"100","ParticleDoc","Indianapolis, IN"
"101","MrJayCameron","3rd Rock from the Sun "
"102","darcy6179","Mount Vernon, OH"
"103","outbreaksci","United States"
"104","outbreaksci","United States"
"105","outbreaksci","United States"
"106","outbreaksci","United States"
"107","HambySr","Provo, UT"
"108","AlaskanCourtney","Alaska"
"109","phelpshospital","Sleepy Hollow, New York"
"110","Popgen_Papers","University of Wyoming"
"111","rngarthee","Waukesha, WI"
"112","mbiojournal","Washington, DC"
"113","pipandbaby","Connecticut, USA"
"114","pipandbaby","Connecticut, USA"
"115","saadhealth","New York, NY"
"116","Rydad98","Illinois"
"117","alaskaking17","Alaska, USA"
"118","eriklutz","Clinton, IA"
"119","AccessIntegrity","Albuquerque, N.M."
"120","stevekemple_inc","Cincinnati, OH"
"121","PassRestProd","Waterloo, IA"
"122","kawaas1","Austell, GA"
"123","itskiraj","Manhattan, New York "
"124","QueenTaige","Not there yet "
"125","livingjaded","Lakewood co"
"126","benoco","Australia"
