REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.26589,1.2802,3849,2488,X,4556,1071,875,12839,2220,1002892
National,X,2017,41,1.30479,1.33123,4118,2676,X,4453,1073,947,13267,2245,996595
National,X,2017,42,1.34075,1.40786,4408,2805,X,4993,1139,974,14319,2266,1017076
National,X,2017,43,1.51674,1.5722,5006,2922,X,5531,1324,1049,15832,2266,1006998
National,X,2017,44,1.74583,1.70326,5219,3289,X,6134,1365,1062,17069,2222,1002140
National,X,2017,45,1.88708,1.86636,6126,3609,X,6671,1522,1129,19057,2288,1021079
National,X,2017,46,2.05923,2.07647,6880,4243,X,7577,1805,1387,21892,2296,1054290
National,X,2017,47,2.27971,2.33593,6945,3844,X,5875,1707,1445,19816,2271,848314
National,X,2017,48,2.28379,2.24637,7008,5235,X,7474,2206,1829,23752,2279,1057350
National,X,2017,49,2.58278,2.49504,7229,5046,X,8488,2335,1857,24955,2272,1000183
National,X,2017,50,3.36558,3.2005,8285,6671,X,11259,2955,2332,31502,2262,984283
National,X,2017,51,4.73117,4.43807,10447,9856,X,14166,4580,3733,42782,2211,963978
National,X,2017,52,5.70943,5.46361,11335,11507,X,11540,5754,5119,45255,2132,828299
National,X,2018,1,5.74658,5.35765,9410,13383,X,11717,6871,5888,47269,2243,882271
National,X,2018,2,5.89207,5.52437,10053,15380,X,17357,7772,6199,56761,2257,1027466
National,X,2018,3,6.51759,6.34528,11997,16012,X,21897,7569,5561,63036,2286,993431
National,X,2018,4,7.16338,7.01811,13408,18317,X,30625,8911,6065,77326,2288,1101807
National,X,2018,5,7.52133,7.7809,14844,19086,X,37200,8915,5940,85985,2275,1105078
National,X,2018,6,7.38748,7.76939,15192,19527,X,38606,8626,5874,87825,2299,1130397
National,X,2018,7,6.44688,6.81176,13365,17203,X,32124,8079,5439,76210,2227,1118800
National,X,2018,8,4.95881,5.15749,10154,12437,X,20450,5805,4179,53025,2272,1028116
National,X,2018,9,3.68612,3.55945,7208,8485,X,13392,4104,2875,36064,2208,1013191
National,X,2018,10,3.18626,3.00518,6368,6485,X,10850,3138,2292,29133,2214,969427
National,X,2018,11,2.76894,2.73038,5588,5928,X,9468,2822,2132,25938,2201,949978
National,X,2018,12,2.48706,2.47768,5223,5408,X,8640,2563,1971,23805,2180,960779
National,X,2018,13,2.40802,2.36314,4721,4720,X,7214,2295,1743,20693,2144,875658
National,X,2018,14,2.07483,2.03139,4553,4459,X,6218,2153,1691,19074,2127,938963
National,X,2018,15,1.77898,1.80376,4145,3749,X,5505,1818,1447,16664,2086,923848
National,X,2018,16,1.61487,1.58696,3856,3214,X,5269,1427,1103,14869,2112,936950
National,X,2018,17,1.5385,1.53801,3723,3026,X,5336,1371,1096,14552,2088,946160
National,X,2018,18,1.52612,1.44974,3658,2604,X,4815,1217,997,13291,2018,916783
National,X,2018,19,1.28847,1.27729,3444,2205,X,4133,935,902,11619,1933,909661
National,X,2018,20,1.18344,1.22051,3359,2239,X,3764,905,799,11066,1977,906668
National,X,2018,21,1.24919,1.23235,3385,2082,X,3429,884,866,10646,1896,863879
National,X,2018,22,1.14131,1.223,3220,1822,X,2987,846,733,9608,1802,785606
National,X,2018,23,0.9878,1.0473,2847,1838,X,2552,802,654,8693,1798,830040
National,X,2018,24,0.895565,0.978113,2375,1596,X,2245,699,658,7573,1753,774246
National,X,2018,25,0.892204,0.947548,2312,1554,X,2162,729,616,7373,1773,778114
National,X,2018,26,0.877184,0.867554,2206,1530,X,1916,669,626,6947,1736,800757
National,X,2018,27,0.780203,0.82328,2009,1299,X,1862,539,549,6258,1780,760130
National,X,2018,28,0.725075,0.771497,1943,1443,X,1901,627,587,6501,1785,842647
National,X,2018,29,0.68247,0.706819,1741,1290,X,1720,566,469,5786,1748,818597
National,X,2018,30,0.640393,0.685155,1665,1202,X,1643,524,463,5497,1741,802300
National,X,2018,31,0.639127,0.687351,1618,1246,X,1769,525,454,5612,1724,816468
National,X,2018,32,0.705637,0.735733,1726,1334,X,1784,541,476,5861,1690,796621
National,X,2018,33,0.707801,0.806048,1986,1387,X,2170,516,478,6537,1725,810994
National,X,2018,34,0.822659,0.944013,2239,1492,X,2468,609,515,7323,1610,775731
National,X,2018,35,0.859864,0.960101,2445,1638,X,2830,656,542,8111,1681,844807
National,X,2018,36,1.10083,1.14128,2814,1985,X,3343,767,621,9530,1710,835027
National,X,2018,37,1.15323,1.14784,2773,2112,X,3660,829,691,10065,1708,876862
National,X,2018,38,1.20178,1.31156,3242,2347,X,3949,922,729,11189,1684,853109
National,X,2018,39,1.2498,1.26102,3481,2488,X,4198,931,669,11767,1710,933130
