REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
National,X,2017,40,1041,13,123,3,5,0,16,1
National,X,2017,41,1079,14,143,8,6,4,13,0
National,X,2017,42,1234,14,173,0,2,1,11,0
National,X,2017,43,1473,26,180,24,13,1,21,0
National,X,2017,44,1591,24,249,15,17,3,36,0
National,X,2017,45,1554,29,315,1,12,4,33,0
National,X,2017,46,1876,56,405,2,29,5,61,0
National,X,2017,47,1611,41,490,2,10,5,60,0
National,X,2017,48,2369,61,787,11,20,8,108,1
National,X,2017,49,2785,72,1055,4,31,16,103,0
National,X,2017,50,3558,137,1515,11,39,36,174,0
National,X,2017,51,4815,240,2491,19,78,39,258,0
National,X,2017,52,5424,279,2984,29,100,35,372,0
National,X,2018,1,6410,320,3295,39,165,45,463,0
National,X,2018,2,6919,393,3336,70,163,42,534,0
National,X,2018,3,6293,406,2727,50,189,47,536,0
National,X,2018,4,6923,540,2749,38,231,58,718,0
National,X,2018,5,7056,542,2494,41,306,91,804,0
National,X,2018,6,6492,544,2040,32,329,113,931,0
National,X,2018,7,5508,495,1511,24,251,115,931,0
National,X,2018,8,4546,306,1073,19,245,116,891,0
National,X,2018,9,3580,246,588,12,204,88,699,0
National,X,2018,10,3057,144,411,25,172,88,646,0
National,X,2018,11,2529,188,277,25,174,70,542,0
National,X,2018,12,2248,120,234,10,129,52,467,0
National,X,2018,13,1965,132,220,8,107,62,455,0
National,X,2018,14,1906,120,163,7,72,54,405,0
National,X,2018,15,1481,101,102,2,54,40,297,0
National,X,2018,16,1174,51,86,0,45,43,211,0
National,X,2018,17,1028,56,53,1,53,28,138,0
National,X,2018,18,831,40,31,2,23,14,137,0
National,X,2018,19,599,16,20,0,8,6,68,0
National,X,2018,20,464,16,10,0,10,6,27,0
National,X,2018,21,344,18,6,0,8,4,20,0
National,X,2018,22,265,8,5,0,2,2,11,0
National,X,2018,23,286,7,3,0,3,3,9,0
National,X,2018,24,283,6,3,0,2,3,8,0
National,X,2018,25,213,1,3,0,0,3,6,1
National,X,2018,26,197,2,6,0,0,0,1,0
National,X,2018,27,131,9,5,0,1,0,6,0
National,X,2018,28,176,8,9,0,1,2,3,0
National,X,2018,29,174,15,5,0,3,2,4,0
National,X,2018,30,243,9,3,4,0,2,0,0
National,X,2018,31,185,7,10,3,0,0,1,0
National,X,2018,32,164,6,8,5,1,0,2,0
National,X,2018,33,181,5,9,6,1,0,2,0
National,X,2018,34,259,17,20,6,1,0,1,0
National,X,2018,35,258,10,6,0,0,0,2,0
National,X,2018,36,351,17,17,0,1,0,1,0
National,X,2018,37,446,29,14,0,0,1,5,0
National,X,2018,38,535,22,17,2,2,1,2,0
National,X,2018,39,561,20,13,0,0,0,3,0
